PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/abandon.01__0	abandon.01	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.abandon_51020000	Theme	Abandon_51020000	https://w3id.org/framester/vn/vn31/data/Abandon_51020000
https://w3id.org/framester/pb/pbdata/abash.01__0	abash.01	ARG0	https://w3id.org/framester/vn/vn31/data/Stimulus.abash_31010000	Stimulus	Abash_31010000	https://w3id.org/framester/vn/vn31/data/Abash_31010000
https://w3id.org/framester/pb/pbdata/abash.01__1	abash.01	ARG1	https://w3id.org/framester/vn/vn31/data/Experiencer.abash_31010000	Experiencer	Abash_31010000	https://w3id.org/framester/vn/vn31/data/Abash_31010000
https://w3id.org/framester/pb/pbdata/abate.01__0	abate.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abate_45040000	Agent	Abate_45040000	https://w3id.org/framester/vn/vn31/data/Abate_45040000
https://w3id.org/framester/pb/pbdata/abate.01__1	abate.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.abate_45040000	Patient	Abate_45040000	https://w3id.org/framester/vn/vn31/data/Abate_45040000
https://w3id.org/framester/pb/pbdata/abbreviate.01__0	abbreviate.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abbreviate_45040000	Agent	Abbreviate_45040000	https://w3id.org/framester/vn/vn31/data/Abbreviate_45040000
https://w3id.org/framester/pb/pbdata/abbreviate.01__1	abbreviate.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.abbreviate_45040000	Patient	Abbreviate_45040000	https://w3id.org/framester/vn/vn31/data/Abbreviate_45040000
https://w3id.org/framester/pb/pbdata/abdicate.01__0	abdicate.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abdicate_10011000	Agent	Abdicate_10011000	https://w3id.org/framester/vn/vn31/data/Abdicate_10011000
https://w3id.org/framester/pb/pbdata/abdicate.01__1	abdicate.01	ARG1	https://w3id.org/framester/vn/vn31/data/Source.abdicate_10011000	Source	Abdicate_10011000	https://w3id.org/framester/vn/vn31/data/Abdicate_10011000
https://w3id.org/framester/pb/pbdata/abduct.01__0	abduct.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abduct_10050000	Agent	Abduct_10050000	https://w3id.org/framester/vn/vn31/data/Abduct_10050000
https://w3id.org/framester/pb/pbdata/abduct.01__1	abduct.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.abduct_10050000	Theme	Abduct_10050000	https://w3id.org/framester/vn/vn31/data/Abduct_10050000
https://w3id.org/framester/pb/pbdata/abduct.01__2	abduct.01	ARG2	https://w3id.org/framester/vn/vn31/data/Source.abduct_10050000	Source	Abduct_10050000	https://w3id.org/framester/vn/vn31/data/Abduct_10050000
https://w3id.org/framester/pb/pbdata/abduct.01__PNC	abduct.01	ARG-PNC	https://w3id.org/framester/vn/vn31/data/Beneficiary.abduct_10050000	Beneficiary	Abduct_10050000	https://w3id.org/framester/vn/vn31/data/Abduct_10050000
https://w3id.org/framester/pb/pbdata/abhor.01__0	abhor.01	ARG0	https://w3id.org/framester/vn/vn31/data/Experiencer.abhor_31020000	Experiencer	Abhor_31020000	https://w3id.org/framester/vn/vn31/data/Abhor_31020000
https://w3id.org/framester/pb/pbdata/abhor.01__1	abhor.01	ARG1	https://w3id.org/framester/vn/vn31/data/Stimulus.abhor_31020000	Stimulus	Abhor_31020000	https://w3id.org/framester/vn/vn31/data/Abhor_31020000
https://w3id.org/framester/pb/pbdata/abolish.01__0	abolish.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abolish_10010000	Agent	Abolish_10010000	https://w3id.org/framester/vn/vn31/data/Abolish_10010000
https://w3id.org/framester/pb/pbdata/abolish.01__1	abolish.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.abolish_10010000	Theme	Abolish_10010000	https://w3id.org/framester/vn/vn31/data/Abolish_10010000
https://w3id.org/framester/pb/pbdata/abridge.01__0	abridge.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abridge_45040000	Agent	Abridge_45040000	https://w3id.org/framester/vn/vn31/data/Abridge_45040000
https://w3id.org/framester/pb/pbdata/abridge.01__1	abridge.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.abridge_45040000	Patient	Abridge_45040000	https://w3id.org/framester/vn/vn31/data/Abridge_45040000
https://w3id.org/framester/pb/pbdata/abstain.01__0	abstain.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abstain_69000000	Agent	Abstain_69000000	https://w3id.org/framester/vn/vn31/data/Abstain_69000000
https://w3id.org/framester/pb/pbdata/abstain.01__1	abstain.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.abstain_69000000	Theme	Abstain_69000000	https://w3id.org/framester/vn/vn31/data/Abstain_69000000
https://w3id.org/framester/pb/pbdata/abstract.01__0	abstract.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abstract_10010000	Agent	Abstract_10010000	https://w3id.org/framester/vn/vn31/data/Abstract_10010000
https://w3id.org/framester/pb/pbdata/abstract.01__1	abstract.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.abstract_10010000	Theme	Abstract_10010000	https://w3id.org/framester/vn/vn31/data/Abstract_10010000
https://w3id.org/framester/pb/pbdata/abstract.01__2	abstract.01	ARG2	https://w3id.org/framester/vn/vn31/data/Source.abstract_10010000	Source	Abstract_10010000	https://w3id.org/framester/vn/vn31/data/Abstract_10010000
https://w3id.org/framester/pb/pbdata/abuse.01__0	abuse.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.abuse_33000000	Agent	Abuse_33000000	https://w3id.org/framester/vn/vn31/data/Abuse_33000000
https://w3id.org/framester/pb/pbdata/abuse.01__1	abuse.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.abuse_33000000	Theme	Abuse_33000000	https://w3id.org/framester/vn/vn31/data/Abuse_33000000
https://w3id.org/framester/pb/pbdata/accede.01__0	accede.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.accede_95000000	Agent	Accede_95000000	https://w3id.org/framester/vn/vn31/data/Accede_95000000
https://w3id.org/framester/pb/pbdata/accede.01__1	accede.01	ARG1	https://w3id.org/framester/vn/vn31/data/Co-Agent.accede_95000000	Co-Agent	Accede_95000000	https://w3id.org/framester/vn/vn31/data/Accede_95000000
https://w3id.org/framester/pb/pbdata/accelerate.01__0	accelerate.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.accelerate_45040000	Agent	Accelerate_45040000	https://w3id.org/framester/vn/vn31/data/Accelerate_45040000
https://w3id.org/framester/pb/pbdata/accelerate.01__1	accelerate.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.accelerate_45040000	Patient	Accelerate_45040000	https://w3id.org/framester/vn/vn31/data/Accelerate_45040000
https://w3id.org/framester/pb/pbdata/accept.01__0	accept.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.accept_13050200	Agent	Accept_13050200	https://w3id.org/framester/vn/vn31/data/Accept_13050200
