pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:1500-01	consisting of a quantity of 1500	pblr:1500-01.thing-that-is-1500		
pbrs:300-01	consisting of a quantity of 300	localrole.300-01.thing-that-is-300		
pbrs:aa-01	awake and alert	pblr:aa-01.awake-entity		
pbrs:aao-01	awake, alert and oriented (part of a neuro exam)	pblr:aao-01.awake		
pbrs:aao-01	awake, alert and oriented (part of a neuro exam)	pblr:aao-01.oriented-to		
pbrs:abandon-01	leave behind	pblr:abandon-01.abandoner		va:0255f
pbrs:abandon-01	leave behind	pblr:abandon-01.entity-left-behind		va:0255f
pbrs:abandon-01	leave behind	pblr:abandon-01.attribute-of-arg1		va:0255f
pbrs:abandon-02	exchange	pblr:abandon-02.preferred-item		va:0016f
pbrs:abandon-02	exchange	pblr:abandon-02.abandoner		va:0016f
pbrs:abandon-02	exchange	pblr:abandon-02.thing-abandoned		va:0016f
pbrs:abandon-03	surrender, give_over	pblr:abandon-03.entity-abandoning-something		va:0253f
pbrs:abandon-03	surrender, give_over	pblr:abandon-03.thing-abandoned		va:0253f
pbrs:abandon-03	surrender, give_over	pblr:abandon-03.benefactive		va:0253f
pbrs:abase-01	to lower in estimation, humble	pblr:abase-01.causer-of-humbling		va:0414f
pbrs:abase-01	to lower in estimation, humble	pblr:abase-01.entity-lowered		va:0414f
pbrs:abase-01	to lower in estimation, humble	pblr:abase-01.instrument		va:0414f
pbrs:abash-01	cause shame	pblr:abash-01.causer-of-shame		
pbrs:abash-01	cause shame	pblr:abash-01.abashed-entity		
pbrs:abash-01	cause shame	pblr:abash-01.instrument		
pbrs:abate-01	to decrease,  become less strong	pblr:abate-01.causer		va:0241f
pbrs:abate-01	to decrease,  become less strong	pblr:abate-01.entity-decreased		va:0241f
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.arg1-is-shortened-by-how-much		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.end-state-of-arg1		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.thing-becoming-shorter		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.causal-agent		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.start-state-of-arg-1		
pbrs:abdicate-01	to relinquish (power or responsibility)	pblr:abdicate-01.responsibility		va:0253f
pbrs:abdicate-01	to relinquish (power or responsibility)	pblr:abdicate-01.abdicator		va:0253f
pbrs:abdominal-01	of the abdomen	pblr:abdominal-01.abdominal-entity		
pbrs:abduct-01	to carry someone off by force	pblr:abduct-01.person-kidnapped		va:0239f
pbrs:abduct-01	to carry someone off by force	pblr:abduct-01.agent		va:0239f
pbrs:abduct-02	move away from a central axis	pblr:abduct-02.thing-moved		
pbrs:abduct-02	move away from a central axis	pblr:abduct-02.mover		
pbrs:aberrate-01	diverge from what is expected	pblr:aberrate-01.thing-diverging		
pbrs:aberrate-01	diverge from what is expected	pblr:aberrate-01.the-norm		
pbrs:abet-01	aid	pblr:abet-01.thing-helped		va:0018f
pbrs:abet-01	aid	pblr:abet-01.agent-of-abetting		va:0018f
pbrs:abhor-01	despise	pblr:abhor-01.despiser		va:0592f
pbrs:abhor-01	despise	pblr:abhor-01.object-of-despisal		va:0592f
pbrs:abide-01	conform to	pblr:abide-01.conformer		va:0002f
pbrs:abide-01	conform to	pblr:abide-01.thing-conformed-to		va:0002f
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.object-undergoing-ablation		
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.agent		
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.material-of-body-ablated		
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.instrument		
pbrs:ablate-02	erode	pblr:ablate-02.cause-of-erosion		
pbrs:ablate-02	erode	pblr:ablate-02.entity-removed		
pbrs:ablate-02	erode	pblr:ablate-02.eroded-from		
pbrs:able-01	have an ability, skill, being able	pblr:able-01.entity-with-ability		va:0104f
pbrs:able-01	have an ability, skill, being able	pblr:able-01.ability-itself		va:0104f
pbrs:abnegate-01	to give up, renounce	pblr:abnegate-01.entity-given-up		
pbrs:abnegate-01	to give up, renounce	pblr:abnegate-01.person-giving-something-up		
pbrs:abnegate-01	to give up, renounce	pblr:abnegate-01.benefactive		
pbrs:abnormal-01	non-standard or atypical, abnormal	pblr:abnormal-01.atypical-thing		
pbrs:abolish-01	get rid of, make illegal, act of doing away with something	pblr:abolish-01.entity-getting-rid-of		va:0253f
pbrs:abolish-01	get rid of, make illegal, act of doing away with something	pblr:abolish-01.thing-abolished		va:0253f
pbrs:abominable-02	deplorable	pblr:abominable-02.entity-deeming-arg1-abominable		
pbrs:abominable-02	deplorable	pblr:abominable-02.snowman		
pbrs:abominate-01	revile	pblr:abominate-01.despiser		va:0592f
pbrs:abominate-01	revile	pblr:abominate-01.thing-despised		va:0592f
pbrs:abort-01	to terminate	pblr:abort-01.entity-aborted		va:0029f
