pbrole	pbrolelabel	pbrolesup	varole
pbdata:1500-01__1	pblocalrole:thing_that_is_1500	pbschema:ARG1	
pbdata:1500-01__1	pblocalrole:thing_that_is_1500	pbschema:ARG-PPT	
pbdata:300-01__1	pblocalrole:thing_that_is_300	pbschema:ARG1	
pbdata:300-01__1	pblocalrole:thing_that_is_300	pbschema:ARG-PPT	
pbdata:aa-01__0	pblocalrole:awake	pbschema:ARG0	
pbdata:aa-01__0	pblocalrole:awake	pbschema:ARG-PAG	
pbdata:aao-01__0	pblocalrole:awake	pbschema:ARG0	
pbdata:aao-01__0	pblocalrole:awake	pbschema:ARG-PAG	
pbdata:aao-01__1	pblocalrole:oriented_to	pbschema:ARG1	
pbdata:aao-01__1	pblocalrole:oriented_to	pbschema:ARG-PPT	
pbdata:abandon-01__0	pblocalrole:abandoner	pbschema:ARG0	va:Agent
pbdata:abandon-01__0	pblocalrole:abandoner	pbschema:ARG-PPT	va:Agent
pbdata:abandon-01__1	pblocalrole:thing_abandoned	pbschema:ARG1	va:Theme
pbdata:abandon-01__1	pblocalrole:thing_abandoned	pbschema:ARG-DIR	va:Theme
pbdata:abandon-01__2	pblocalrole:attribute_of_arg1	pbschema:ARG2	va:Attribute
pbdata:abandon-01__2	pblocalrole:attribute_of_arg1	pbschema:ARG-PRD	va:Attribute
pbdata:abandon-02__0	pblocalrole:abandoner	pbschema:ARG0	va:Agent
pbdata:abandon-02__0	pblocalrole:abandoner	pbschema:ARG-PAG	va:Agent
pbdata:abandon-02__1	pblocalrole:thing_abandoned	pbschema:ARG1	va:Patient
pbdata:abandon-02__1	pblocalrole:thing_abandoned	pbschema:ARG-PPT	va:Patient
pbdata:abandon-02__2	pblocalrole:preferred_item	pbschema:ARG2	va:Result
pbdata:abandon-02__2	pblocalrole:preferred_item	pbschema:ARG-GOL	va:Result
pbdata:abandon-03__0	pblocalrole:entity_abandoning_something	pbschema:ARG0	va:Agent
pbdata:abandon-03__0	pblocalrole:entity_abandoning_something	pbschema:ARG-PAG	va:Agent
pbdata:abandon-03__1	pblocalrole:thing_abandoned	pbschema:ARG1	va:Patient
pbdata:abandon-03__1	pblocalrole:thing_abandoned	pbschema:ARG-PPT	va:Patient
pbdata:abandon-03__2	pblocalrole:benefactive	pbschema:ARG2	va:Recipient
pbdata:abandon-03__2	pblocalrole:benefactive	pbschema:ARG-GOL	va:Recipient
pbdata:abase-01__0	pblocalrole:causer_of_humbling	pbschema:ARG0	va:Stimulus
pbdata:abase-01__0	pblocalrole:causer_of_humbling	pbschema:ARG-PAG	va:Stimulus
pbdata:abase-01__1	pblocalrole:entity_lowered	pbschema:ARG1	va:Experiencer
pbdata:abase-01__1	pblocalrole:entity_lowered	pbschema:ARG-PPT	va:Experiencer
pbdata:abase-01__2	pblocalrole:instrument	pbschema:ARG2	va:Instrument
pbdata:abase-01__2	pblocalrole:instrument	pbschema:ARG-MNR	va:Instrument
pbdata:abash-01__0	pblocalrole:causer_of_shame	pbschema:ARG0	
pbdata:abash-01__0	pblocalrole:causer_of_shame	pbschema:ARG-PAG	
pbdata:abash-01__1	pblocalrole:abashed_entity	pbschema:ARG1	
pbdata:abash-01__1	pblocalrole:abashed_entity	pbschema:ARG-PPT	
pbdata:abash-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:abash-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
pbdata:abate-01__0	pblocalrole:causer	pbschema:ARG0	va:Agent
pbdata:abate-01__0	pblocalrole:causer	pbschema:ARG-PAG	va:Agent
pbdata:abate-01__1	pblocalrole:entity_decreased	pbschema:ARG1	va:Patient
pbdata:abate-01__1	pblocalrole:entity_decreased	pbschema:ARG-PPT	va:Patient
pbdata:abbreviate-01__0	pblocalrole:causal_agent	pbschema:ARG0	
pbdata:abbreviate-01__0	pblocalrole:causal_agent	pbschema:ARG-PAG	
pbdata:abbreviate-01__1	pblocalrole:thing_becoming_shorter	pbschema:ARG1	
pbdata:abbreviate-01__1	pblocalrole:thing_becoming_shorter	pbschema:ARG-PPT	
pbdata:abbreviate-01__2	pblocalrole:ext	pbschema:ARG2	
pbdata:abbreviate-01__2	pblocalrole:ext	pbschema:ARG-EXT	
pbdata:abbreviate-01__3	pblocalrole:start_state_of_arg_1	pbschema:ARG3	
pbdata:abbreviate-01__3	pblocalrole:start_state_of_arg_1	pbschema:ARG-DIR	
pbdata:abbreviate-01__4	pblocalrole:end_state_of_arg1	pbschema:ARG4	
pbdata:abbreviate-01__4	pblocalrole:end_state_of_arg1	pbschema:ARG-PRD	
pbdata:abdicate-01__0	pblocalrole:abdicator	pbschema:ARG0	va:Agent
pbdata:abdicate-01__0	pblocalrole:abdicator	pbschema:ARG-PAG	va:Agent
pbdata:abdicate-01__1	pblocalrole:responsibility	pbschema:ARG1	va:Patient
pbdata:abdicate-01__1	pblocalrole:responsibility	pbschema:ARG-DIR	va:Patient
pbdata:abdominal-01__1	pblocalrole:abdominal_entity	pbschema:ARG1	
pbdata:abdominal-01__1	pblocalrole:abdominal_entity	pbschema:ARG-PPT	
pbdata:abduct-01__0	pblocalrole:agent	pbschema:ARG0	va:Agent
pbdata:abduct-01__0	pblocalrole:agent	pbschema:ARG-PAG	va:Agent
pbdata:abduct-01__1	pblocalrole:person_kidnapped	pbschema:ARG1	va:Patient
pbdata:abduct-01__1	pblocalrole:person_kidnapped	pbschema:ARG-PPT	va:Patient
pbdata:abduct-02__0	pblocalrole:mover	pbschema:ARG0	
pbdata:abduct-02__0	pblocalrole:mover	pbschema:ARG-PAG	
pbdata:abduct-02__1	pblocalrole:thing_moved	pbschema:ARG1	
pbdata:abduct-02__1	pblocalrole:thing_moved	pbschema:ARG-PPT	
pbdata:aberrate-01__1	pblocalrole:thing_diverging	pbschema:ARG1	
pbdata:aberrate-01__1	pblocalrole:thing_diverging	pbschema:ARG-PPT	
pbdata:aberrate-01__2	pblocalrole:the_norm	pbschema:ARG2	
pbdata:aberrate-01__2	pblocalrole:the_norm	pbschema:ARG-DIR	
pbdata:abet-01__0	pblocalrole:agent_of_abetting	pbschema:ARG0	va:Agent
pbdata:abet-01__0	pblocalrole:agent_of_abetting	pbschema:ARG-PAG	va:Agent
pbdata:abet-01__1	pblocalrole:thing_helped	pbschema:ARG1	va:Patient
pbdata:abet-01__1	pblocalrole:thing_helped	pbschema:ARG-GOL	va:Patient
pbdata:abhor-01__0	pblocalrole:despiser	pbschema:ARG0	va:Experiencer
pbdata:abhor-01__0	pblocalrole:despiser	pbschema:ARG-PPT	va:Experiencer
pbdata:abhor-01__1	pblocalrole:object_of_despisal	pbschema:ARG1	va:Stimulus
pbdata:abhor-01__1	pblocalrole:object_of_despisal	pbschema:ARG-PAG	va:Stimulus
pbdata:abide-01__0	pblocalrole:conformer	pbschema:ARG0	va:Agent
pbdata:abide-01__0	pblocalrole:conformer	pbschema:ARG-PPT	va:Agent
pbdata:abide-01__1	pblocalrole:thing_conformed_to	pbschema:ARG1	va:Theme
pbdata:abide-01__1	pblocalrole:thing_conformed_to	pbschema:ARG-GOL	va:Theme
pbdata:ablate-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:ablate-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:ablate-01__1	pblocalrole:material	pbschema:ARG1	
pbdata:ablate-01__1	pblocalrole:material	pbschema:ARG-PPT	
pbdata:ablate-01__1	pblocalrole:part_of_body_ablated	pbschema:ARG1	
pbdata:ablate-01__1	pblocalrole:part_of_body_ablated	pbschema:ARG-PPT	
pbdata:ablate-01__2	pblocalrole:object	pbschema:ARG2	
pbdata:ablate-01__2	pblocalrole:object	pbschema:ARG-DIR	
pbdata:ablate-01__2	pblocalrole:patient_undergoing_ablation	pbschema:ARG2	
pbdata:ablate-01__2	pblocalrole:patient_undergoing_ablation	pbschema:ARG-DIR	
pbdata:ablate-01__3	pblocalrole:instrument	pbschema:ARG3	
pbdata:ablate-02__0	pblocalrole:cause_of_erosion	pbschema:ARG0	
pbdata:ablate-02__0	pblocalrole:cause_of_erosion	pbschema:ARG-PAG	
pbdata:ablate-02__1	pblocalrole:entity_removed	pbschema:ARG1	
pbdata:ablate-02__1	pblocalrole:entity_removed	pbschema:ARG-PPT	
pbdata:ablate-02__2	pblocalrole:eroded_from	pbschema:ARG2	
pbdata:ablate-02__2	pblocalrole:eroded_from	pbschema:ARG-DIR	
pbdata:able-01__1	pblocalrole:entity_with_ability	pbschema:ARG1	va:Attribute
